File: /mntnfs/lee_data1/haoyan/SLP/Singing-Voice-Conversion/model/ckpts/M4Singer/Transformer_eval_conversion/ProSinger/test_132.npy,
 Shape: (100, 800, 40)

Target: mean = 272.96312113738014, ratio = 0.5, base = 266.2988404694408
  0%|          | 0/100 [00:00<?, ?it/s]File: Alto-1_左边_0034, mapping = 0.803576469192544
  1%|          | 1/100 [00:03<05:22,  3.26s/it]File: Alto-1_空空_0011, mapping = 0.8099865453912279
  2%|▏         | 2/100 [00:06<05:19,  3.26s/it]File: Alto-1_我喜欢上你时的内心活动_0006, mapping = 0.8121482744329982
  3%|▎         | 3/100 [00:07<03:53,  2.41s/it]File: Alto-1_致青春_0006, mapping = 0.8719531795379141
  4%|▍         | 4/100 [00:10<04:07,  2.58s/it]File: Alto-1_奇妙能力歌_0027, mapping = 0.687181522012024
  5%|▌         | 5/100 [00:12<03:42,  2.34s/it]File: Alto-2_成全_0004, mapping = 0.8536054687894084
  6%|▌         | 6/100 [00:14<03:32,  2.26s/it]File: Alto-2_走马_0023, mapping = 1.0123445947606668
  7%|▋         | 7/100 [00:16<03:16,  2.12s/it]File: Alto-2_解脱_0004, mapping = 1.326902482717323
  8%|▊         | 8/100 [00:17<02:40,  1.75s/it]File: Alto-2_forever_young_0008, mapping = 1.0394582305399795
  9%|▉         | 9/100 [00:18<02:29,  1.64s/it]File: Alto-2_爱_0018, mapping = 0.708497994245599
 10%|█         | 10/100 [00:21<03:06,  2.07s/it]File: Alto-3_如果你也听说_0009, mapping = 0.7611524773724387
 11%|█         | 11/100 [00:25<03:33,  2.40s/it]File: Alto-3_像风一样_0011, mapping = 0.708418009874353
 12%|█▏        | 12/100 [00:27<03:18,  2.26s/it]File: Alto-3_修炼爱情_0021, mapping = 0.8460434649125206
 13%|█▎        | 13/100 [00:28<03:00,  2.08s/it]File: Alto-3_身骑白马_0029, mapping = 0.7440854401215723
 14%|█▍        | 14/100 [00:30<02:51,  1.99s/it]File: Alto-3_修炼爱情_0028, mapping = 0.8468154269415465
 15%|█▌        | 15/100 [00:33<03:16,  2.32s/it]File: Alto-4_初爱_0008, mapping = 1.2052646300036045
 16%|█▌        | 16/100 [00:36<03:32,  2.53s/it]File: Alto-4_再见吧喵小姐_0032, mapping = 0.7852474436459692
 17%|█▋        | 17/100 [00:37<02:51,  2.07s/it]File: Alto-4_理想_0016, mapping = 1.41266959114183
 18%|█▊        | 18/100 [00:39<02:39,  1.94s/it]File: Alto-4_寂寞的恋人啊_0020, mapping = 0.939338896444652
 19%|█▉        | 19/100 [00:40<02:17,  1.70s/it]File: Alto-4_倔强_0021, mapping = 1.128419481929592
 20%|██        | 20/100 [00:42<02:36,  1.96s/it]File: Alto-5_小情歌_0005, mapping = 1.0022407005222795
 21%|██        | 21/100 [00:45<02:41,  2.04s/it]File: Alto-5_小酒窝_0017, mapping = 0.6675499835957888
 22%|██▏       | 22/100 [00:47<02:35,  1.99s/it]File: Alto-5_告白气球_0025, mapping = 0.7490907012174911
 23%|██▎       | 23/100 [00:49<02:44,  2.13s/it]File: Alto-5_十年_0005, mapping = 0.8792568973689076
 24%|██▍       | 24/100 [00:52<02:55,  2.32s/it]File: Alto-5_有一种悲伤_0024, mapping = 0.6855965142421041
 25%|██▌       | 25/100 [00:53<02:31,  2.02s/it]File: Alto-6_春暖花开_0007, mapping = 0.71392836359305
 26%|██▌       | 26/100 [00:55<02:19,  1.88s/it]File: Alto-6_我怀念的_0011, mapping = 0.7260675825261658
 27%|██▋       | 27/100 [00:57<02:29,  2.04s/it]File: Alto-6_告白气球_0023, mapping = 0.7891365953600246
 28%|██▊       | 28/100 [01:00<02:41,  2.24s/it]File: Alto-6_可惜不是你_0027, mapping = 0.7618049763098207
 29%|██▉       | 29/100 [01:02<02:31,  2.13s/it]File: Alto-6_小半_0003, mapping = 1.094080737075099
 30%|███       | 30/100 [01:04<02:40,  2.30s/it]File: Alto-7_某人_0022, mapping = 0.9900637137436379
 31%|███       | 31/100 [01:07<02:49,  2.46s/it]File: Alto-7_只对你有感觉_0017, mapping = 0.8283060341554523
 32%|███▏      | 32/100 [01:09<02:38,  2.33s/it]File: Alto-7_远走高飞_0027, mapping = 0.7383949473633722
 33%|███▎      | 33/100 [01:11<02:26,  2.19s/it]File: Alto-7_只只_0016, mapping = 1.493044735926541
 34%|███▍      | 34/100 [01:12<02:06,  1.92s/it]File: Alto-7_课桌上的青春_0014, mapping = 1.032199175461668
 35%|███▌      | 35/100 [01:14<02:02,  1.89s/it]File: Bass-1_多情的土地_0002, mapping = 2.79888637961811
 36%|███▌      | 36/100 [01:16<01:53,  1.77s/it]File: Bass-1_父亲写的散文诗_0008, mapping = 2.4783336133254754
 37%|███▋      | 37/100 [01:17<01:50,  1.75s/it]File: Bass-1_阿拉斯加海湾_0006, mapping = 2.685302091645482
 38%|███▊      | 38/100 [01:19<01:42,  1.65s/it]File: Bass-1_为什么我好想告诉他我是谁_0007, mapping = 2.8174340846152517
